| super(...)                   | Object()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/ShoppingCartTest.java:9:7:9:22       |    0 |      |
| new ShoppingCart(...)        | ShoppingCart()        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/ShoppingCartTest.java:15:16:15:33    |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/ShoppingCartTest.java:38:54:38:77    |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/ShoppingCartTest.java:111:59:112:58  |    0 |      |
| new DiscountService(...)     | DiscountService()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/ShoppingCartTest.java:119:41:119:61  |    0 |      |
| new ShoppingCart(...)             | ShoppingCart(DiscountService)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:13:29:13:61                |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:13:46:13:60                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:18:22:18:51                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:18:35:18:41                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:18:22:18:51                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:18:44:18:47                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:18:22:18:51                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:18:50:18:50                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:19:22:19:51                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:19:35:19:41                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:19:22:19:51                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:19:44:19:47                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:19:22:19:51                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:19:50:19:50                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:20:22:20:50                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:20:35:20:40                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:20:22:20:50                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:20:43:20:46                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:20:22:20:50                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:20:49:20:49                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:28:22:28:54                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:28:35:28:42                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:28:22:28:54                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:28:45:28:50                |
| new CartItem(...)                 | CartItem(String, double, int)    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:28:22:28:54                |    3 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:28:53:28:53                |
